WILAYA,course packages
ADRAR,55293
CHLEF,25714
LAGHOUAT,1716813
OUM EL BOUAGHI,122272
BATNA,237600
BEJAIA,30290
BISKRA,1399746
BECHAR,1319192
BLIDA,8860
BOUIRA,73895
TAMANRASSET,816100
TEBESSA,434088
TLEMCEN,149036
TIARET,420606
TIZI OUZOU,25370
ALGIERS,1471
DJELFA,2114041
JIJEL,38811
SETIF,53650
SAIDA,159664
SKIKDA,42977
SIDI BEL ABBES,3715
ANNABA,7585
GUELMA,50875
CONSTANTINE,50935
MEDEA,291247
MOSTAGANEM,5110
M'SILA,1019243
MASCARA,104292
OUARGLA,4750000
ORAN,1823
EL BAYADH,5688141
ILLIZI,0
BORDJ BOU ARRERIDJ,48598
BOUMERDES,10741
EL TARF,8518
TINDOUF,6000000
TISSEMSILT,22297
EL OUED,1410000
KHENCHELA,439430
SOUK AHRAS,30977
TIPAZA,8157
MILA,21956
AIN DEFLA,37972
NAAMA,2175117
AIN TEMOUCHENT,7974
GHARDAIA,1306248
RELIZANE,6062